Komunikat|ID|Kraj|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zrębice,Ulica: Główna,Miejscowość nie ma kodów pocztowych|A1651897|PL|42-256|ZRĘBICE|ul.Główna 17|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1652873|PL|30-668|KRAKÓW|Polonijna|16|28|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Józefów,Ulica: Rozkoszna,Wszystkie kody mają przypisaną ulicę|A1652889|PL|05-410|JÓZEFÓW|Rozkoszna|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Słupska,Wszystkie kody mają przypisaną ulicę|A1653837|PL|30-405|KRAKÓW|Słupska|8||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Józefów,Ulica: Skłodowskiej,Wszystkie kody mają przypisaną ulicę|A1655310|PL|05-420|JÓZEFÓW|M.C.Skłodowskiej|33||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Janów Lubelski (ID=168866),Ulica: Kilińskiego (ID=843730),Numer budynku: 11,Liczba znalezionych kodów: 0|A1656395|PL|23-204|KRAŚNIK LUBELSKI|Księdza Zielińskiego|11|8|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Międzyrzecz (ID=172476),Ulica: Wesoła (ID=634690),Numer budynku: 45,Liczba znalezionych kodów: 0|A1656598|PL|66-300|MIĘDZYRZECZ|Wysoka|45||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1657794|PL|31-144|Kraków|Biskupia|6|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Gwarków,Wszystkie kody mają przypisaną ulicę|A1659113|PL|44-240|Żory|os. Gwarków|32c|1|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Opoczno (ID=178351),Ulica: Krzywoustego (ID=911968),Numer budynku: 8,Liczba znalezionych kodów: 0|A1659231|PL|26-300|Opoczno|Bolesława Krzywouste|8||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łańcut (ID=216696),Ulica: Kąty (ID=750032),Numer budynku: 49,Liczba znalezionych kodów: 0|A1659276|PL|37-100|Łańcut|Kardynała Stefana Wy|49|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1659893|PL|30-667|Kraków|Facimiech|18|36|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Włoszczowa (ID=236771),Ulica: Kraszewskiego (ID=816365),Numer budynku: 49,Liczba znalezionych kodów: 0|A1660498|PL|29-100|Włoszczowa|Ignacego Kraszewskie|49||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Krzywa,Wszystkie kody mają przypisaną ulicę|A1660845|PL|43-382|Bielsko-Biała|Krzywa|36||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Katowice,Ulica: Jasińskiego,Wszystkie kody mają przypisaną ulicę|A1662327|PL|40-586|Katowice|Jasieńskiego|9||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kostrzyn (ID=203690),Ulica: Górna (ID=885397),Numer budynku: 21,Liczba znalezionych kodów: 0|A1663093|PL|66-470|Kostrzyn|Główna|21|1|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1663387|PL|30-667|Kraków|Facimiech|18|36|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zabierzów,Ulica: Na Stoku,Wszystkie kody mają przypisaną ulicę|A1664272|PL|32-080|ZABIERZÓW|os.Na Stoku|7||MAŁOPOLSKIE|KRAKOWSKI|ZABIERZÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jastrzębie-Zdrój,Ulica: Jadwigi,Wszystkie kody mają przypisaną ulicę|A1664717|PL|44-330|Jastrzębie Zdrój|Królowej Jadwigi|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Lasowice Małe,Ulica: Stawowa,Miejscowość nie ma kodów pocztowych|A1666154|PL|46-282|Lasowice Małe|Stawowa|22||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Roztoka-Brzeziny (ID=187302),Numer budynku: 160,Liczba znalezionych kodów: 0|A1666329|PL|33-316|Roztoka Brzeziny||160||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1668621|PL|30-668|KRAKÓW|Polonijna|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1670837|PL|94-051|ŁÓDŹ|Wyszyńskiego|93|20|ŁÓDZKIE|ŁÓDŹ|ŁÓDŹ
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Leszno (ID=249753),Ulica: Górowska (ID=825843),Numer budynku: 40A,Liczba znalezionych kodów: 0|A1672453|PL|64-100|LESZNO|Mórkowska|40A||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Balladyny,Wszystkie kody mają przypisaną ulicę|A1675154|PL|43-382|BIELSKO-BIAŁA|Balladyny|12||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1676491|PL|31-144|KRAKÓW|Biskupia|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jastrzębie-Zdrój,Ulica: Miarki,Wszystkie kody mają przypisaną ulicę|A1677015|PL|44-330|JASTRZĘBIE ZDRÓJ|Karola Miarki|21||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1677244|PL|94-050|ŁÓDŹ|Wyszyńskiego|83|4|ŁÓDZKIE|ŁÓDŹ|ŁÓDŹ
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1678483|PL|00-043|WARSZAWA|Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: 1 Dywizji Pancernej,Wszystkie kody mają przypisaną ulicę|A1679080|PL|43-300|BIELSKO-BIAŁA|I Dywizji Pancernej|45||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A16813|PL|30-667|KRAKÓW|Facimiech|14|15|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1682195|PL|30-667|Kraków|Facimiech|18|33|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jastrzębie-Zdrój,Ulica: Okrzei,Wszystkie kody mają przypisaną ulicę|A1682251|PL|44-337|Jastrzębie Zdrój|Okrzei|28||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jastrzębie-Zdrój,Ulica: Okrzei,Wszystkie kody mają przypisaną ulicę|A1682361|PL|44-337|Jastrzębie-Zdrój|Okrzei|12C||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik,Ulica: Spółdzielcza,Wszystkie kody mają przypisaną ulicę|A1682660|PL|44-274|Rybnik|Spółdzielcza|20||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Krosno (ID=215473),Ulica: Popiełuszki (ID=681541),Numer budynku: 99,Liczba znalezionych kodów: 0|A1682732|PL|38-400|Krosno|Ks.Jerzego Popiełusz|99|2|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zielona Góra,Ulica: Zeusa,Wszystkie kody mają przypisaną ulicę|A1683090|PL|65-530|Zielona Góra|Zawadzkiego Tadeusza|17|3|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów,Ulica: Szarych Szeregów,Wszystkie kody mają przypisaną ulicę|A1683658|PL|33-101|Tarnów|Szarych Szeregow|14||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1683722|PL|31-144|Kraków|Biskupia|5|5|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łańcut (ID=216696),Ulica: Kąty (ID=750032),Numer budynku: 10,Liczba znalezionych kodów: 0|A1683776|PL|37-100|Łańcut|Kard. Stefana Wyszyń|10||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Starachowice (ID=233998),Ulica: Prądzyńskiego (ID=768936),Numer budynku: 4,Liczba znalezionych kodów: 0|A1686688|PL|27-200|Starachowice|Ignacego Prądzyńskie|4|34|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Oświęcim (ID=194794),Ulica: Orłowskiego (ID=661217),Numer budynku: 34,Liczba znalezionych kodów: 0|A1687732|PL|32-600|Oświęcim|Aleksandra Orłowskie|34|9|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik,Ulica: Spółdzielcza,Wszystkie kody mają przypisaną ulicę|A1689396|PL|44-274|Rybnik|Spółdzielcza|14||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ropa (ID=193245),Numer budynku: 52,Liczba znalezionych kodów: 0|A1690406|PL|38-312|Ropa||52||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sosnowiec,Ulica: Stoczniowców,Wszystkie kody mają przypisaną ulicę|A1690443|PL|41-208|Sosnowiec|Stoczniowców|3A|3|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1690851|PL|94-047|Łódź|Wyszyńskiego|47|29|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Brzezinka,Ulica: Brzozowa,Miejscowość nie ma kodów pocztowych|A1691391|PL|32-610|Brzezinka|Brzozowa|36||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1691474|PL|30-144|KRAKÓW|Biskupia|3|3|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Władysława,Wszystkie kody mają przypisaną ulicę|A1694342|PL|44-240|ŻORY|Ks.Władysława|13G|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Legionowo,Ulica: Szarych Szeregów,Wszystkie kody mają przypisaną ulicę|A1694846|PL|05-119|LEGIONOWO|Szarych Szeregów|17||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Dąbrowa Górnicza,Ulica: Jamki,Wszystkie kody mają przypisaną ulicę|A1696191|PL||DĄBROWA GÓRNICZA|Jana Majewskiego|339|17|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chyliczki,Ulica: Wschodnia,Miejscowość nie ma kodów pocztowych|A1702373|PL|05-510|CHYLICZKI|Wschodnia|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bydgoszcz (ID=161781),Ulica: Romańskiego (ID=615817),Numer budynku: 6,Liczba znalezionych kodów: 0|A1704728|PL|85-011|BYDGOSZCZ|Rumińskiego|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory (ID=230027),Ulica: Władysława (ID=789943),Numer budynku: 1G,Liczba znalezionych kodów: 0|A1707664|PL|44-240|Żory|os. Księcia Władysła|1G|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jastrzębie-Zdrój,Ulica: Miarki,Wszystkie kody mają przypisaną ulicę|A1707719|PL|44-330|Jastrzębie-Zdrój|Karola Miarki|1|46|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Podklasztor,Ulica: Turzyniec,Miejscowość nie ma kodów pocztowych|A1708416|PL|22-440|Podklasztor|Turzyniec|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Ogrodniki,Wszystkie kody mają przypisaną ulicę|A1708530|PL|30-421|Kraków|Ogrodniki|1|7|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Częstochowa,Ulica: Tokarzewskiego-Karaszewicza,Wszystkie kody mają przypisaną ulicę|A1709374|PL|42-200|Częstochowa|Tokarzewskiego-Karaszewicza|23||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Górka-Zabłocie,Ulica: Kościelna,Miejscowość nie ma kodów pocztowych|A1709446|PL|22-530|Górka-Zabłocie|kościelna|7||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Bartnicza,Wszystkie kody mają przypisaną ulicę|A1710455|PL|43-300|Bielsko-Biała|Bartnicza|17|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Oświęcim (ID=194794),Ulica: Zajazdowa (ID=654515),Numer budynku: 14,Liczba znalezionych kodów: 0|A1710664|PL|32-600|Oświęcim|Dojazdowa|14||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Przy Torze,Wszystkie kody mają przypisaną ulicę|A1710977|PL|30-421|Kraków|Przy Torze|14 A||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik,Ulica: Staffa,Wszystkie kody mają przypisaną ulicę|A1713175|PL|44-274|Rybnik|Staffa|10c||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ciągowice,Ulica: Zwycięstwa,Miejscowość nie ma kodów pocztowych|A1713924|PL|42-450|Ciągowice|Zwycięstwa|51||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Poznań (ID=250342),Ulica: Chrobrego (ID=773343),Numer budynku: 32,Liczba znalezionych kodów: 0|A1714877|PL|60-681|Poznań|os.Bolesława Chrobre|32|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Szyce,Ulica: Wesoła,Wszystkie kody mają przypisaną ulicę|A1715426|PL|32-085|Szyce|Wesoła|28||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Dąbrowa Górnicza,Ulica: Budowniczych Huty Katowice,Wszystkie kody mają przypisaną ulicę|A1715833|PL|41-300|DĄBROWA GÓRNICZA|Buczka|3c|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sulejówek,Ulica: Sielankowa,Wszystkie kody mają przypisaną ulicę|A1717012|PL|05-070|SULEJÓWEK|Sielankowa|4|2|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Otwock,Ulica: Sowińskiego,Wszystkie kody mają przypisaną ulicę|A1717424|PL|05-402|OTWOCK|Sowińskiego|20||MAZOWIECKIE|OTWOCKI|OTWOCK
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Starachowice (ID=233998),Ulica: Rogowskiego (ID=768883),Numer budynku: 5,Liczba znalezionych kodów: 0|A1718134|PL|27-200|STARACHOWICE|Mrozowskiego|5||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Otwock,Ulica: Lisia,Wszystkie kody mają przypisaną ulicę|A1719198|PL|05-400|OTWOCK|Lisia|2||MAZOWIECKIE|OTWOCKI|OTWOCK
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kamieniec Wrocławski (ID=154823),Ulica: Sadowa (ID=627016),Numer budynku: 85,Liczba znalezionych kodów: 0|A1719561|PL|55-002|KAMIENIEC WROCŁAWSKI|Stawowa|85||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Luboszyce (ID=208738),Ulica: Brzozowa (ID=795452),Numer budynku: 6,Liczba znalezionych kodów: 0|A1719579|PL|46-022|LUBOSZYCE|Brzegowa|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wojcieszyce,Ulica: Parkowa,Miejscowość nie ma kodów pocztowych|A1722594|PL|66-415|WOJCIESZYCE|Parkowa|33||LUBUSKIE|GORZOWSKI|KŁODAWA
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kielce,Ulica: Maja,Wszystkie kody mają przypisaną ulicę|A1722926|PL|25-372|KIELCE|Seminaryjna|18|36|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wręczyca Wielka (ID=227326),Ulica: Parkowa (ID=712366),Numer budynku: 16,Liczba znalezionych kodów: 0|A1723630|PL|42-130|WRĘĆZYCA WIELKA|Zamkowa|16||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Lubin (ID=157620),Ulica: Krupińskiego (ID=634872),Numer budynku: 15/3,Liczba znalezionych kodów: 0|A1724066|PL|59-300|LUBIN|ul.Krasińskiego 15/3|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bydgoszcz (ID=161781),Ulica: Romańskiego (ID=615817),Numer budynku: 6,Liczba znalezionych kodów: 0|A1724590|PL|85-030|BYDGOSZCZ|Rumińskiego|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Krzywa,Wszystkie kody mają przypisaną ulicę|A1726287|PL|43-300|BIELSKO-BIAŁA|ul.Krzywa 36|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Władysława,Wszystkie kody mają przypisaną ulicę|A1729919|PL|44-240|ŻORY|OS.KS.WŁADYSŁAWA|2H|5|ŚLĄSKIE|ŻORY|ŻORY
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chełm (ID=169873),Ulica: Bratkowa (ID=615597),Numer budynku: 4,Liczba znalezionych kodów: 0|A1730700|PL|22-100|CHEŁM|Bartkowa|4||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Przesmyk,Wszystkie kody mają przypisaną ulicę|A1733869|PL|43-382|Bielsko-Biała|Przesmyk|12||ŚLĄSKIE|BIELSKO-BIAŁA|BIELSKO-BIAŁA
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gorzelnia,Ulica: Wielkoborska,Miejscowość nie ma kodów pocztowych|A1734493|PL|42-290|GORZELNIA|Wielkoborska|4||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Przemyśl (ID=215127),Ulica: Paderewskiego (ID=700635),Numer budynku: 20,Liczba znalezionych kodów: 0|A1735314|PL|37-700|Przemyśl|Ignacego Paderewskie|20|50|PODKARPACKIE|PRZEMYŚL|PRZEMYŚL
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bąków,Ulica: Orzeszkowej,Miejscowość nie ma kodów pocztowych|A1736749|PL|37-464|Bąków|Orzeszkowej|90||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kurzelów (ID=236534),Ulica: Brożka (ID=856821),Numer budynku: 12,Liczba znalezionych kodów: 0|A1736897|PL|29-100|Kurzelów|Buczka|12||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Ogrodniki,Wszystkie kody mają przypisaną ulicę|A1738752|PL|30-421|Kraków|Ogrodniki|4|4|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów,Ulica: Osiedle,Wszystkie kody mają przypisaną ulicę|A1739876|PL|33-100|Tarnów|Osiedle|29||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Szaniawskiego,Wszystkie kody mają przypisaną ulicę|A1739880|PL|30-405|Kraków|Szaniawskiego|23||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1740578|PL|00-043|WARSZAWA|Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1740585|PL|94-042|ŁÓDŹ|Wyszyńskiego|12|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Grajewo (ID=222466),Ulica: Broniewskiego (ID=889990),Numer budynku: 4,Liczba znalezionych kodów: 0|A1741325|PL|19-200|GRAJEWO|Broniweskiego|4|16|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Ogrodniki,Wszystkie kody mają przypisaną ulicę|A1742873|PL|30-421|KRAKÓW|ul.Ogrodniki 4/4|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chrzanów (ID=195254),Ulica: Wyszyńskiego (ID=855070),Numer budynku: 1/14,Liczba znalezionych kodów: 0|A1746728|PL|32-500|CHRZANÓW|ul.Kardynała Wyszyńskeigo 1/14|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chyliczki,Ulica: Łamana,Miejscowość nie ma kodów pocztowych|A1751085|PL|05-510|CHYLICZKI|Łamana|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Otwock,Ulica: Marusarzówny,Wszystkie kody mają przypisaną ulicę|A1752202|PL|05-402|OTWOCK|Marusarzówny|32||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1755218|PL|94-047|ŁÓDŹ|WYSZYŃSKIEGO|68|34A|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Roztoki,Wszystkie kody mają przypisaną ulicę|A1756495|PL|43-300|Bielsko-Biała|Roztoki|1|16|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jarosław (ID=210652),Ulica: Kopernika (ID=915862),Numer budynku: 1,Liczba znalezionych kodów: 0|A1758423|PL|37-500|Jarosław|os. Mikołaja Koperni|1|111|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Busko-Zdrój (ID=235132),Ulica: Sady (ID=907276),Numer budynku: 24,Liczba znalezionych kodów: 0|A1760309|PL|28-100|Busko-Zdrój|os. Gen. Władysława|24|23|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Oraczy,Wszystkie kody mają przypisaną ulicę|A1760351|PL|30-418|Kraków|Oraczy|5|6|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1761972|PL|00-043|WARSZAWA|ul.Czackiego 3/5|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1762725|PL|00-043|WARSZAWA|T. Czackiego|3/5|405|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chorzów,Ulica: AKS,Wszystkie kody mają przypisaną ulicę|A1763084|PL|41-503|CHORZÓW|Marii Curie Skłodowskiej|30||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kalisz (ID=249717),Ulica: Główny Rynek (ID=805462),Numer budynku: 15,Liczba znalezionych kodów: 0|A1764557|PL|62-800|KALISZ|Gł.Rynek|15||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Środa Śląska (ID=157576),Ulica: Szkolna (ID=646421),Numer budynku: 1,Liczba znalezionych kodów: 0|A1769721|PL|55-300|ŚRODA ŚLĄSKA|Szklana|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rzgów (ID=179748),Ulica: Smugowa (ID=912150),Numer budynku: 3a,Liczba znalezionych kodów: 0|A1769907|PL|95-030|RZGÓW|Usługowa|3a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1772350|PL|94-047|ŁÓDŹ|Wyszyńskiego|63|27|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Poznań,Ulica: Miedziana,Wszystkie kody mają przypisaną ulicę|A1775052|PL|60-118|POZNAŃ|Miedziana|3||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Dopiewo (ID=248831),Ulica: Lipowa (ID=805725),Numer budynku: 37,Liczba znalezionych kodów: 0|A1777146|PL|62-070|DOPIEWO|Cisowa|37|2|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Krościenko nad Dunajcem (ID=185589),Ulica: Wojtyły - Papieża (ID=903263),Numer budynku: 78,Liczba znalezionych kodów: 0|A1777581|PL|34-450|KROŚCIENKO N/D|Karola Wojtyły-Papieża|78||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zagnańsk (ID=235985),Ulica: Wrzosowa (ID=737132),Numer budynku: 2,Liczba znalezionych kodów: 0|A1780020|PL|26-050|Zagnańsk|Brzozowa|2||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ropa (ID=193245),Numer budynku: 66,Liczba znalezionych kodów: 0|A1780123|PL|38-312|Ropa||66||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Oraczy,Wszystkie kody mają przypisaną ulicę|A1782092|PL|30-418|Kraków|Oraczy|5|5|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1782813|PL|31-144|Kraków|Biskupia|20|3|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chyliczki,Ulica: Budowlana,Miejscowość nie ma kodów pocztowych|A1787519|PL|05-500|CHYLICZKI|Budowlana|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Na Grządkach,Wszystkie kody mają przypisaną ulicę|A1789392|PL|30-421|KRAKÓW|Na Grządkach|1|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1789614|PL|00-043|WARSZAWA|Czackiego|7/9|11|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Iława,Ulica: Sikorskiego,Wszystkie kody mają przypisaną ulicę|A1789615|PL|14-200|IŁAWA|SIKORSKIEGO|41||WARMIŃSKO-MAZURSKIE|IŁAWSKI|IŁAWA
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Przyborów (ID=187115),Numer budynku: 398,Liczba znalezionych kodów: 0|A1791400|PL|32-825|BORZĘCIN|Przyborów|398||||
