Komunikat|ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Nie znaleziono ulicy ''Ul. M. Skłodowskiej-Curie' w miejscowości 'ZABRZE''|A1792215|41-800|ZABRZE|Ul. M. Skłodowskiej-Curie|9||||
Nie znaleziono ulicy ''Ul. M.C.Skłodowskiej' w miejscowości 'KRAKÓW''|A1394478|31-025|KRAKÓW|Ul. M.C.Skłodowskiej|5|6|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono ulicy ''ul. M.Curie-Skłodows' w miejscowości 'LEŻAJSK''|A1416391|37-300|LEŻAJSK|ul. M.Curie-Skłodows|7|7|||
Nie znaleziono ulicy ''ul. Magazynowa' w miejscowości 'KOBIERZYCE''|A1849568|55-040|KOBIERZYCE|ul. Magazynowa|8||||
Nie znaleziono ulicy ''Ul. Majakowskiego' w miejscowości 'PSZÓW''|A1415694|44-370|PSZÓW|Ul. Majakowskiego|50 B||ŚLĄSKIE|WODZISŁAWSKI|WODZISŁAW ŚLĄSKI
Nie znaleziono ulicy ''ul. Makowa' w miejscowości 'Fredropol''|A1963971|37-734|Fredropol|ul. Makowa|62||||
Nie znaleziono ulicy ''ul. Malinie' w miejscowości 'Chorzelów''|A1988404|39-331|Chorzelów|ul. Malinie|313 c||||
Nie znaleziono ulicy ''ul. Marcina Borelowskiego-Lele' w miejscowości 'Kraków''|A1988323|30-108|Kraków|ul. Marcina Borelowskiego-Lele|6|5|||
Nie znaleziono ulicy ''ul. Marcina Borelowskiego-Lele' w miejscowości 'Kraków''|A1988650|30-108|Kraków|ul. Marcina Borelowskiego-Lele|6|3|||
Nie znaleziono ulicy ''ul. Marii Curie-Skłodowskiej' w miejscowości 'Siemianowice Śląskie''|A1940452|41-103|Siemianowice Śląskie|ul. Marii Curie-Skłodowskiej|113|4|||
Nie znaleziono ulicy ''ul. Marii Dąbrowskie' w miejscowości 'TARNOBRZEG''|A1416451|39-400|TARNOBRZEG|ul. Marii Dąbrowskie|26|7|||
Nie znaleziono ulicy ''ul. Marii Dąbrowskiej' w miejscowości 'Tarnobrzeg''|A1989787|39-400|Tarnobrzeg|ul. Marii Dąbrowskiej|25|4|||
Nie znaleziono ulicy ''ul. Marii Dąbrowskiej' w miejscowości 'Tarnobrzeg''|A1988667|39-400|Tarnobrzeg|ul. Marii Dąbrowskiej|1a|1|||
Nie znaleziono ulicy ''ul. Marii Konopnickiej' w miejscowości 'Dukla''|A1990134|38-450|Dukla|ul. Marii Konopnickiej|22B||||
Nie znaleziono ulicy ''ul. Marii Konopnickiej' w miejscowości 'WERBKOWICE''|A1416271|22-550|WERBKOWICE|ul. Marii Konopnickiej|6|16|||
Nie znaleziono ulicy ''Ul. Marii Konopnickiej' w miejscowości 'WOJNICZ''|A1349920|32-830|WOJNICZ|Ul. Marii Konopnickiej|1||||
Nie znaleziono ulicy ''ul. Marii Skłodowskiej-Curie' w miejscowości 'Lublin''|A1986826|20-029|Lublin|ul. Marii Skłodowskiej-Curie|50|6|LUBELSKIE|LUBLIN|LUBLIN
Nie znaleziono ulicy ''ul. marsz. Józefa Piłsudskiego' w miejscowości 'Dobrzelów''|A1963740|97-400|Dobrzelów|ul. marsz. Józefa Piłsudskiego|21B||||
Nie znaleziono ulicy ''ul. Marszałka Józefa Piłsudski' w miejscowości 'BYTOM''|A1954053|41-902|BYTOM|ul. Marszałka Józefa Piłsudski|84||ŚLĄSKIE||
Nie znaleziono ulicy ''ul. Marszałka Józefa Piłsudski' w miejscowości 'Kielce''|A1961349|25-431|Kielce|ul. Marszałka Józefa Piłsudski|16|62|||
Nie znaleziono ulicy ''ul. Marszałka Józefa Piłsudski' w miejscowości 'KOSZALIN''|A1966045|75-531|KOSZALIN|ul. Marszałka Józefa Piłsudski|92||ZACHODNIOPOMORSKIE||
Nie znaleziono ulicy ''ul. Marszałka Józefa Piłsudski' w miejscowości 'KOZIEGŁOWY''|A1983726|62-028|KOZIEGŁOWY|ul. Marszałka Józefa Piłsudski|11|30|WIELKOPOLSKIE||
Nie znaleziono ulicy ''ul. Marszałka Józefa Piłsudski' w miejscowości 'Kraków''|A1990804|31-111|Kraków|ul. Marszałka Józefa Piłsudski|30|6|||
Nie znaleziono ulicy ''ul. Marszałka Józefa Piłsudski' w miejscowości 'SIERADZ''|A1944595|98-200|SIERADZ|ul. Marszałka Józefa Piłsudski|4||ŁÓDZKIE||
Nie znaleziono ulicy ''ul. Marszałka Józefa Piłsudski' w miejscowości 'Sosnowiec''|A1965267|41-209|Sosnowiec|ul. Marszałka Józefa Piłsudski|21/I|18|||
Nie znaleziono ulicy ''Ul. Marszałka Piłsud' w miejscowości 'PILICA''|A1413924|42-436|PILICA|Ul. Marszałka Piłsud|21||||
Nie znaleziono ulicy ''ul. Marszałka Piłsudskiego' w miejscowości 'BOLESŁAWIEC''|A1681616|59-700|BOLESŁAWIEC|ul. Marszałka Piłsudskiego 1C|||||
Nie znaleziono ulicy ''Ul. Mickiewicza' w miejscowości 'PYSZNICA''|A1418394|37-403|PYSZNICA|Ul. Mickiewicza|9||||
Nie znaleziono ulicy ''ul. Mieczysława Niedziałkowski' w miejscowości 'OPOLE''|A1966014|45-085|OPOLE|ul. Mieczysława Niedziałkowski|18||OPOLSKIE||
Nie znaleziono ulicy ''ul. Mieczysława Niedziałkowski' w miejscowości 'Świnoujście''|A1988252|72-600|Świnoujście|ul. Mieczysława Niedziałkowski|3|2|||
Nie znaleziono ulicy ''ul. Mikołaja Kopernika' w miejscowości 'Dąbrowa Tarnowska''|A1938975|33-200|Dąbrowa Tarnowska|ul. Mikołaja Kopernika|125||||
Nie znaleziono ulicy ''Ul. Miła' w miejscowości 'ANDRYCHÓW''|A1417815|34-120|ANDRYCHÓW|Ul. Miła|16||MAŁOPOLSKIE|WADOWICKI|ANDRYCHÓW
Nie znaleziono ulicy ''ul. Młynarska' w miejscowości 'ZAGNAŃSK''|A1416467|26-050|ZAGNAŃSK|ul. Młynarska|18A||||
Nie znaleziono ulicy ''ul. Młynne' w miejscowości 'Limanowa''|A1987652|34-600|Limanowa|ul. Młynne|113A||||
Nie znaleziono ulicy ''ul. Młyńska' w miejscowości 'TRZEBINIA''|A1394533|32-541|TRZEBINIA|ul. Młyńska|24||||
Nie znaleziono ulicy ''ul. Morcinek' w miejscowości 'Stare Budkowice''|A1964364|46-030|Stare Budkowice|ul. Morcinek|2||||
Nie znaleziono ulicy ''ul. Mostowa' w miejscowości 'Staniątki''|A1988093|32-005|Staniątki|ul. Mostowa|172||MAŁOPOLSKIE|WIELICKI|NIEPOŁOMICE
Nie znaleziono ulicy ''ul. Na Błonie' w miejscowości 'Staniątki''|A1988253|32-005|Staniątki|ul. Na Błonie|956||||
Nie znaleziono ulicy ''Ul. Nawojki' w miejscowości '30-072 KRAKÓW''|A1390748||30-072 KRAKÓW|Ul. Nawojki|6|145|||
Nie znaleziono ulicy ''ul. Nawsie' w miejscowości 'Wielopole Skrzyńskie''|A1942180|39-110|Wielopole Skrzyńskie|ul. Nawsie|404||||
Nie znaleziono ulicy ''ul. Niepodległości' w miejscowości 'Browary''|A1987082||Browary|ul. Niepodległości|9 A|15|||
Nie znaleziono ulicy ''ul. Niziny' w miejscowości 'ORŁY''|A1911699|37-716|ORŁY|ul. Niziny|357||||
Nie znaleziono ulicy ''ul. Nowa Wieś' w miejscowości 'BOLESŁAWIEC''|A1843955|59-700|BOLESŁAWIEC|ul. Nowa Wieś|5||||
Nie znaleziono ulicy ''ul. Nowa Wieś' w miejscowości 'Długosiodło''|A1937559|07-210|Długosiodło|ul. Nowa Wieś|14a||MAZOWIECKIE|WYSZKOWSKI|DŁUGOSIODŁO
Nie znaleziono ulicy ''ul. Nowa Wieś' w miejscowości 'Łabowa''|A1963492|33-336|Łabowa|ul. Nowa Wieś|177|177|||
Nie znaleziono ulicy ''ul. Nowa Wieś' w miejscowości 'SŁUPIA''|A1849563|28-350|SŁUPIA|ul. Nowa Wieś|68A||||
Nie znaleziono ulicy ''ul. Nowodworze' w miejscowości 'Tarnowiec''|A1941999|33-112|Tarnowiec|ul. Nowodworze|65||||
Nie znaleziono ulicy ''ul. Obr. Westerplatte' w miejscowości 'OŚWIĘCIM''|A1416481|32-600|OŚWIĘCIM|ul. Obr. Westerplatte|18|1|||
Nie znaleziono ulicy ''ul. Obrońców Dobrzykowa' w miejscowości 'GĄBIN''|A1857494|09-530|GĄBIN|ul. Obrońców Dobrzykowa|6||||
Nie znaleziono ulicy ''ul. Odonów' w miejscowości 'Kazimierza Wielka''|A1963350|28-500|Kazimierza Wielka|ul. Odonów|1||||
Nie znaleziono ulicy ''ul. Ojca Generała Stanisława T' w miejscowości 'Narama''|A1962512|32-095|Narama|ul. Ojca Generała Stanisława T|10||||
Nie znaleziono ulicy ''ul. Olimpijczyków' w miejscowości 'BYDGOSZCZ''|A1397828|85-796|BYDGOSZCZ|ul. Olimpijczyków|6|34|||
Nie znaleziono ulicy ''Ul. Olkuska' w miejscowości 'CZYŻÓWKA''|A1414310|32-541|CZYŻÓWKA|Ul. Olkuska|40||||
Nie znaleziono ulicy ''ul. Olszowiec' w miejscowości 'Kamyk''|A1939823|42-125|Kamyk|ul. Olszowiec|29||||
Nie znaleziono ulicy ''ul. Olszówka' w miejscowości 'Mszana Dolna''|A1937637|34-730|Mszana Dolna|ul. Olszówka|330||||
Nie znaleziono ulicy ''ul. Olszówka' w miejscowości 'Mszana Dolna''|A1938852|34-730|Mszana Dolna|ul. Olszówka|270||MAŁOPOLSKIE|LIMANOWSKI|MSZANA DOLNA
Nie znaleziono ulicy ''ul. Osiedlowa' w miejscowości 'NOWA WIEŚ''|A1417778|32-651|NOWA WIEŚ|ul. Osiedlowa|14||||
Nie znaleziono ulicy ''ul. Ostrów' w miejscowości 'Klimontów''|A1964020|32-112|Klimontów|ul. Ostrów|150||||
Nie znaleziono ulicy ''ul. Ostrów' w miejscowości 'Przemyśl''|A1961361|37-700|Przemyśl|ul. Ostrów|327||||
Nie znaleziono ulicy ''ul. Pałacowa' w miejscowości 'Młynek''|A1961286|83-304|Młynek|ul. Pałacowa|105B||||
Nie znaleziono ulicy ''ul. Partyzantów' w miejscowości 'Ilkowice''|A1940782|33-131|Ilkowice|ul. Partyzantów|3||||
Nie znaleziono ulicy ''Ul. Partyzantów' w miejscowości 'TRZEBINIA''|A1390877|32-541|TRZEBINIA|Ul. Partyzantów|19a||||
Nie znaleziono ulicy ''ul. Pasieka' w miejscowości 'Modliborzyce''|A1989708|23-310|Modliborzyce|ul. Pasieka|32||||
Nie znaleziono ulicy ''ul. Pawęzowska' w miejscowości '33-131 ŁĘG TARNOWSKI''|A1390731||33-131 ŁĘG TARNOWSKI|ul. Pawęzowska|40||||
Nie znaleziono ulicy ''ul. PCK' w miejscowości 'Radom''|A1987178|26-600|Radom|ul. PCK|1|6|||
Nie znaleziono ulicy ''ul. PCK' w miejscowości 'Tarnów''|A1990772|33-100|Tarnów|ul. PCK|24a|27|||
Nie znaleziono ulicy ''ul. Piaskowa' w miejscowości 'Staniątki''|A1987128|32-005|Staniątki|ul. Piaskowa|873||||
Nie znaleziono ulicy ''ul. Pieczyska' w miejscowości 'Wieruszów''|A1962391|98-400|Wieruszów|ul. Pieczyska|27a||ŁÓDZKIE|WIERUSZOWSKI|WIERUSZÓW
Nie znaleziono ulicy ''ul. Pilota Stanisława Wigury' w miejscowości 'ŁÓDŹ''|A1475004|90-950|ŁÓDŹ|ul. Pilota Stanisława Wigury 2|||||
Nie znaleziono ulicy ''Ul. Piłsudskiego' w miejscowości 'JAWORZNO''|A1350322|43-609|JAWORZNO|Ul. Piłsudskiego|35|57|||
Nie znaleziono ulicy ''Ul. Piłsudskiego' w miejscowości 'JAWORZNO''|A1415336|43-600|JAWORZNO|Ul. Piłsudskiego|68|4|||
Nie znaleziono ulicy ''Ul. Piłsudskiego' w miejscowości 'PRZEMYŚL''|A1414762|37-700|PRZEMYŚL|Ul. Piłsudskiego|31|15|||
Nie znaleziono ulicy ''ul. Piotra Skargi' w miejscowości 'Jastrzębie-Zdrój''|A1941921|44-337|Jastrzębie-Zdrój|ul. Piotra Skargi|20E||||
Nie znaleziono ulicy ''Ul. Podlaska' w miejscowości 'PRZECIESZYN''|A1391658|32-625|PRZECIESZYN|Ul. Podlaska|1||||
Nie znaleziono ulicy ''ul. Podlesie' w miejscowości 'Baczków''|A1937441|32-008|Baczków|ul. Podlesie|46||||
Nie znaleziono ulicy ''ul. Podzamcze' w miejscowości 'Chęciny''|A1963516|26-060|Chęciny|ul. Podzamcze|3A||||
Nie znaleziono ulicy ''ul. Pogorzany' w miejscowości 'Szczyrzyc''|A1964592|34-623|Szczyrzyc|ul. Pogorzany|237||MAŁOPOLSKIE|LIMANOWSKI|JODŁOWNIK
Nie znaleziono ulicy ''ul. Polna' w miejscowości 'DĄBRÓWKA''|A1887698|62-070|DĄBRÓWKA|ul. Polna|9||WIELKOPOLSKIE||
Nie znaleziono ulicy ''ul. Polna' w miejscowości 'Śledziejowice''|A1941089|32-020|Śledziejowice|ul. Polna|267||||
Nie znaleziono ulicy ''ul. Południowa' w miejscowości 'Wola Rzędzińska''|A1989353|33-150|Wola Rzędzińska|ul. Południowa|562||||
Nie znaleziono ulicy ''Ul. Poniatowskiego' w miejscowości 'OSTROWIEC ŚW''|A1414653|27-400|OSTROWIEC ŚW|Ul. Poniatowskiego|54||||
Nie znaleziono ulicy ''ul. Poświatowskiej' w miejscowości 'USTKA''|A1843365|76-270|USTKA|ul. Poświatowskiej|5||||
Nie znaleziono ulicy ''ul. Powstańców Śląskich' w miejscowości 'Wojnowice''|A1937861|47-470|Wojnowice|ul. Powstańców Śląskich|7||||
Nie znaleziono ulicy ''ul. Prezydenta Gabriela Naruto' w miejscowości 'ŁÓDŹ''|A10123|90-136|ŁÓDŹ|ul. Prezydenta Gabriela Naruto|68||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Nie znaleziono ulicy ''ul. Prezydenta Lecha Kaczyński' w miejscowości 'Gdańsk''|A1987456|80-365|Gdańsk|ul. Prezydenta Lecha Kaczyński|24a|81|||
Nie znaleziono ulicy ''ul. Prezydenta Lecha Kaczyński' w miejscowości 'Gdańsk''|A1990222|80-365|Gdańsk|ul. Prezydenta Lecha Kaczyński|24|5|||
Nie znaleziono ulicy ''ul. prof. Jerzego Godziszewski' w miejscowości 'BYDGOSZCZ''|A1808136|85-075|BYDGOSZCZ|ul. prof. Jerzego Godziszewski|1||KUJAWSKO-POMORSKIE||
Nie znaleziono ulicy ''ul. profesora doktora Francisz' w miejscowości 'Brzesko''|A1963446|32-800|Brzesko|ul. profesora doktora Francisz|10||||
Nie znaleziono ulicy ''ul. Profesora Michala Bobrzyns' w miejscowości 'Kraków''|A1987503|30-348|Kraków|ul. Profesora Michala Bobrzyns|43b|5|||
Nie znaleziono ulicy ''ul. Profesora Michała Bobrzyńs' w miejscowości 'Kraków''|A1987203|30-348|Kraków|ul. Profesora Michała Bobrzyńs|39B|53|||
Nie znaleziono ulicy ''ul. Profesora Michała Bobrzyńs' w miejscowości 'Kraków''|A1987255|30-348|Kraków|ul. Profesora Michała Bobrzyńs|43a|21|||
Nie znaleziono ulicy ''ul. Profesora Michała Bobrzyńs' w miejscowości 'KRAKÓW''|A1914610|30-348|KRAKÓW|ul. Profesora Michała Bobrzyńs|14||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono ulicy ''ul. Profesora Wojciecha Marii' w miejscowości 'Kraków''|A1938552|30-389|Kraków|ul. Profesora Wojciecha Marii|19b|36|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono ulicy ''ul. Profesora Wojciecha Marii' w miejscowości 'Kraków''|A1964805|30-389|Kraków|ul. Profesora Wojciecha Marii|19C|63|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono ulicy ''ul. Profesora Wojciecha Marii' w miejscowości 'KRAKÓW''|A1949504|30-389|KRAKÓW|ul. Profesora Wojciecha Marii|19A|58|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono ulicy ''ul. Profesora Wojciecha Marii' w miejscowości 'KRAKÓW''|A1980391|30-389|KRAKÓW|ul. Profesora Wojciecha Marii|19|11|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono ulicy ''ul. Prusa' w miejscowości 'SKOCZÓW''|A1404897|83-220|SKOCZÓW|ul. Prusa|7||||
Nie znaleziono ulicy ''ul. Przewodnika Józefa Krzepto' w miejscowości 'Zakopane''|A1962327|34-500|Zakopane|ul. Przewodnika Józefa Krzepto|3||||
Nie znaleziono ulicy ''Ul. Przyjaźni' w miejscowości 'POLICE''|A1391302|72-009|POLICE|Ul. Przyjaźni|7|4|||
Nie znaleziono ulicy ''ul. Pułkownika Józefa Spychals' w miejscowości 'Kraków''|A1986362|30-382|Kraków|ul. Pułkownika Józefa Spychals|10|2|||
Nie znaleziono ulicy ''ul. Reymonta' w miejscowości 'KRYNICA''|A1416400|33-380|KRYNICA|ul. Reymonta|13||||
Nie znaleziono ulicy ''Ul. Rogozina' w miejscowości 'SYRYNIA''|A1350228|44-361|SYRYNIA|Ul. Rogozina|16||||
Nie znaleziono ulicy ''ul. Rolna' w miejscowości 'DĄBROWA''|A1848909|62-070|DĄBROWA|ul. Rolna 50|||||
Nie znaleziono ulicy ''ul. Rolnicza' w miejscowości '33-100 TARNÓW''|A1390740||33-100 TARNÓW|ul. Rolnicza|4|9|||
Nie znaleziono ulicy ''Ul. Romualda Traugutta' w miejscowości 'Jastrzębie-Zdrój''|A1960596|44-337|Jastrzębie-Zdrój|Ul. Romualda Traugutta|59a||||
Nie znaleziono ulicy ''ul. Rotm. Witolda Pileckiego' w miejscowości 'Busko-Zdrój''|A1940486|28-100|Busko-Zdrój|ul. Rotm. Witolda Pileckiego|9||||
Nie znaleziono ulicy ''ul. Rotmistrza Zbigniewa Dunin' w miejscowości 'Kraków''|A1965338|30-112|Kraków|ul. Rotmistrza Zbigniewa Dunin|26|18|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono ulicy ''ul. Rotmistrza Zbigniewa Dunin' w miejscowości 'Kraków''|A1987361|30-112|Kraków|ul. Rotmistrza Zbigniewa Dunin|10|15|||
Nie znaleziono ulicy ''Ul. Rozwadowska' w miejscowości '37-464 STALOWA WOLA''|A1390741||37-464 STALOWA WOLA|Ul. Rozwadowska|34||||
Nie znaleziono ulicy ''ul. rtm. Zbigniewa Dunin-Wąsow' w miejscowości 'Kraków''|A1991325|30-112|Kraków|ul. rtm. Zbigniewa Dunin-Wąsow|26|28|||
Nie znaleziono ulicy ''ul. Rudno' w miejscowości 'Ilkowice''|A1939082|33-131|Ilkowice|ul. Rudno|85||MAŁOPOLSKIE|TARNOWSKI|ŻABNO
Nie znaleziono ulicy ''ul. Rudzicka' w miejscowości 'Międzyrzecze Górne''|A1937999|43-392|Międzyrzecze Górne|ul. Rudzicka|472B||||
Nie znaleziono ulicy ''ul. Rumiankowa' w miejscowości 'PRZEGINIA''|A1861986|32-061|PRZEGINIA|ul. Rumiankowa|12||||
Nie znaleziono ulicy ''ul. Rutkowskiego' w miejscowości 'BĘDZIN''|A1416282|42-500|BĘDZIN|ul. Rutkowskiego|1|9|||
Nie znaleziono ulicy ''UL. RYNEK' w miejscowości 'WŁODOWICE''|A1476109|42-365|WŁODOWICE|UL. RYNEK 6|||||
Nie znaleziono ulicy ''ul. Rzędzińska' w miejscowości 'WOLA RZĘDZIŃSKA''|A1856742|33-150|WOLA RZĘDZIŃSKA|ul. Rzędzińska|494 B||||
Nie znaleziono ulicy ''Ul. S. Batorego' w miejscowości 'CHORZÓW''|A1824287|41-506|CHORZÓW|Ul. S. Batorego|48||||
Nie znaleziono ulicy ''ul. S. Batorego' w miejscowości 'Krosno''|A1940755|38-400|Krosno|ul. S. Batorego|29|7|PODKARPACKIE|KROSNO|KROSNO
Nie znaleziono ulicy ''Ul. S. Batorego' w miejscowości 'OSTRÓW MAZOWIECKI''|A1799849|07-300|OSTRÓW MAZOWIECKI|Ul. S. Batorego|9||||
Nie znaleziono ulicy ''ul. Sandomierska' w miejscowości 'Zbydniów''|A1940852|37-416|Zbydniów|ul. Sandomierska|59||||
Nie znaleziono ulicy ''Ul. Sawickiej' w miejscowości 'KIELCE''|A1391507|25-431|KIELCE|Ul. Sawickiej|26|6|||
Nie znaleziono ulicy ''ul. Sielec' w miejscowości 'Staszów''|A1961294|28-200|Staszów|ul. Sielec|155||ŚWIĘTOKRZYSKIE|STASZOWSKI|STASZÓW
Nie znaleziono ulicy ''ul. Sieniawska' w miejscowości 'Ubieszyn''|A1939456|37-204|Ubieszyn|ul. Sieniawska|204||||
Nie znaleziono ulicy ''ul. Skłodowskiej-Curie' w miejscowości 'Katowice''|A1940960|40-057|Katowice|ul. Skłodowskiej-Curie|44|14|||
Nie znaleziono ulicy ''ul. Skłodowskiej' w miejscowości 'MIELEC''|A1723231|39-300|MIELEC|ul. Skłodowskiej 4|||||
Nie znaleziono ulicy ''ul. Skłodowskiej' w miejscowości 'Piekary Śląskie''|A1940204|41-949|Piekary Śląskie|ul. Skłodowskiej|31||||
Nie znaleziono ulicy ''ul. Skłodowskiej' w miejscowości 'Rzeszów''|A1938178|35-036|Rzeszów|ul. Skłodowskiej|3|23|||
Nie znaleziono ulicy ''Ul. Słoneczna' w miejscowości 'Wrzosów''|A1963755|26-630|Wrzosów|Ul. Słoneczna|29||||
Nie znaleziono ulicy ''Ul. Sobieskiego' w miejscowości 'JĘDRZEJÓW''|A1390685|28-300|JĘDRZEJÓW|Ul. Sobieskiego|6|28|||
Nie znaleziono ulicy ''Ul. Sobieskiego' w miejscowości 'ŁAZISKA GÓRNE''|A1414134|43-170|ŁAZISKA GÓRNE|Ul. Sobieskiego|1A|7|||
Nie znaleziono ulicy ''ul. Sobieskiego' w miejscowości 'Oświęcim''|A1938299|32-600|Oświęcim|ul. Sobieskiego|5|4|||
Nie znaleziono ulicy ''Ul. Sobieskiego' w miejscowości 'PIWNICZNA''|A1417005|33-350|PIWNICZNA|Ul. Sobieskiego|21|47|||
Nie znaleziono ulicy ''Ul. Sobieskiego' w miejscowości 'SANOK''|A1393970|38-500|SANOK|Ul. Sobieskiego|32|2|||
Nie znaleziono ulicy ''Ul. Sobieskiego' w miejscowości 'SKRZYSZÓW''|A1416108|44-348|SKRZYSZÓW|Ul. Sobieskiego|10||||
Nie znaleziono ulicy ''ul. Sobieskiego' w miejscowości 'TENCZYNEK''|A1302826|32-067|TENCZYNEK|ul. Sobieskiego|29||||
Nie znaleziono ulicy ''ul. Sobieskiego' w miejscowości 'Włoszczowa''|A1987031|29-100|Włoszczowa|ul. Sobieskiego|75||||
Nie znaleziono ulicy ''ul. Sobieskiego' w miejscowości 'WŁOSZCZOWA''|A1416524|29-100|WŁOSZCZOWA|ul. Sobieskiego|66||||
Nie znaleziono ulicy ''ul. Sosnowa' w miejscowości 'Pielgrzymowice''|A1987390|43-252|Pielgrzymowice|ul. Sosnowa|6||ŚLĄSKIE|PSZCZYŃSKI|PAWŁOWICE
Nie znaleziono ulicy ''Ul. Sportowa' w miejscowości 'SŁAWA''|A1860055|67-710|SŁAWA|Ul. Sportowa|3||||
Nie znaleziono ulicy ''ul. St.Batorego' w miejscowości 'Niepołomice''|A1988677|32-005|Niepołomice|ul. St.Batorego|39||||
Nie znaleziono ulicy ''Ul. Stachiewicza' w miejscowości 'POLSKA''|A1390578|31-303|POLSKA|Ul. Stachiewicza|13|117|||
Nie znaleziono ulicy ''ul. Stanisława Augusta Poniato' w miejscowości 'Kraków''|A1940489|31-709|Kraków|ul. Stanisława Augusta Poniato|51||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono ulicy ''ul. Stanisława Augusta Poniato' w miejscowości 'Kraków''|A1987885|31-709|Kraków|ul. Stanisława Augusta Poniato|21||||
Nie znaleziono ulicy ''ul. Stanisława Drzymały' w miejscowości 'RACIBÓRZ''|A1418977|47-400|RACIBÓRZ|ul. Stanisława Drzymały|28|9|||
Nie znaleziono ulicy ''ul. Stanisława Moniuszki' w miejscowości 'Kraków''|A1964816|31-518|Kraków|ul. Stanisława Moniuszki|10|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono ulicy ''Ul. Stanisława Staszica' w miejscowości 'Piaseczno''|A1963748|05-500|Piaseczno|Ul. Stanisława Staszica|42|82|||
Nie znaleziono ulicy ''ul. Stara Wieś' w miejscowości 'Limanowa''|A1965213|34-600|Limanowa|ul. Stara Wieś|345||||
Nie znaleziono ulicy ''ul. Stara Wieś' w miejscowości 'Limanowa''|A1988463|34-600|Limanowa|ul. Stara Wieś|70||||
Nie znaleziono ulicy ''Ul. Starówka' w miejscowości 'Mała Wieś''|A1991576|32-002|Mała Wieś|Ul. Starówka|64|64|||
Nie znaleziono ulicy ''ul. Stawowa' w miejscowości 'Podłęże''|A1939447|32-003|Podłęże|ul. Stawowa|49||||
Nie znaleziono ulicy ''ul. Stawowa' w miejscowości 'Podłęże''|A1987727|32-003|Podłęże|ul. Stawowa|371||MAŁOPOLSKIE|WIELICKI|NIEPOŁOMICE
Nie znaleziono ulicy ''Ul. Stefana Czarniec' w miejscowości 'POŁANIEC''|A1414394|28-230|POŁANIEC|Ul. Stefana Czarniec|15|1|||
Nie znaleziono ulicy ''ul. Stefana Grota Rowecki' w miejscowości 'Opole''|A1807755|45-267|Opole|ul. Stefana Grota Rowecki|9D|17|||
Nie znaleziono ulicy ''Ul. Strażacka' w miejscowości 'MYŚLACHOWICE''|A1395283|32-543|MYŚLACHOWICE|Ul. Strażacka|8||||
Nie znaleziono ulicy ''ul. Strumieńska' w miejscowości 'JASIENICA''|A1475265|43-386|JASIENICA|ul. Strumieńska 894A|||||
Nie znaleziono ulicy ''ul. Sucharskiego' w miejscowości 'NOWY SĄCZ''|A1395596|33-300|NOWY SĄCZ|ul. Sucharskiego|46/|11|||
Nie znaleziono ulicy ''Ul. Szafera' w miejscowości 'POLSKA''|A1391593|32-500|POLSKA|Ul. Szafera|6|18|||
Nie znaleziono ulicy ''Ul. Szczerbińskiego' w miejscowości 'STRZYŻÓW''|A1391718|38-100|STRZYŻÓW|Ul. Szczerbińskiego|4||||
Nie znaleziono ulicy ''ul. Szkolna' w miejscowości 'OKSZÓW''|A1395543|22-105|OKSZÓW|ul. Szkolna|3||||
Nie znaleziono ulicy ''ul. Szkolna' w miejscowości 'Rudzica''|A1989555|43-394|Rudzica|ul. Szkolna|617||||
Nie znaleziono ulicy ''ul. Szkolna' w miejscowości 'Trześń''|A1961210|39-432|Trześń|ul. Szkolna|23||PODKARPACKIE|TARNOBRZESKI|GORZYCE
Nie znaleziono ulicy ''ul. Szopena' w miejscowości 'Błażowa''|A1939475|36-030|Błażowa|ul. Szopena|6||||
Nie znaleziono ulicy ''ul. Szopena' w miejscowości 'JASŁO''|A1395578|38-200|JASŁO|ul. Szopena|56||||
Nie znaleziono ulicy ''Ul. Szopena' w miejscowości 'JASŁO''|A1392088|38-200|JASŁO|Ul. Szopena|15|23|||
Nie znaleziono ulicy ''ul. Szopena' w miejscowości 'KŁODZKO''|A1389380|57-300|KŁODZKO|ul. Szopena|1|2|||
Nie znaleziono ulicy ''ul. Szpitalna' w miejscowości '33-100 TARNÓW''|A1390733||33-100 TARNÓW|ul. Szpitalna|39|17|||
Nie znaleziono ulicy ''Ul. Szumca' w miejscowości 'KRAKÓW''|A1414948|30-432|KRAKÓW|Ul. Szumca|4A|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
